"Comment","Designator","Footprint","LCSC Part #"
"1uF","C1,C3","C_0402_1005Metric","C52923"
"100nF","C2,C7","C_0402_1005Metric","C1525"
"47uF","C5,C4","C_0603_1608Metric","C140782"
"10uF","C6","C_0402_1005Metric","C15525"
"B5819W","D1","D_SOD-123","C8598"
"Speaker","LS1","MLT_7525","C95299"
"10k","R1,R2,R4,R3","R_0402_1005Metric","C25744"
"W25Q32JVSS","U1","SOIC-8_5.23x5.23mm_P1.27mm","C190799"
"STM32G031GxU","U5","Package_QFN_ST_ST_UFQFPN-28_4x4mm_P0.5mm","C96514"
